,出现次数,召回率,查准率,f1-score
禁销/宗教-帆布鞋,1.0,0.0,0.0,0.0
禁销/宗教-平底凉鞋,1.0,0.0,0.0,0.0
禁销/宗教-床笠,1.0,0.0,0.0,0.0
禁销-其他,1.0,0.0,0.0,0.0
禁销/宗教-户外床/折叠床,1.0,1.0,1.0,1.0
禁销/宗教-手机支架/手机座,1.0,0.0,0.0,0.0
禁销/宗教-手镯,1.0,1.0,0.05,0.0952
禁销/宗教-其他美甲工具,1.0,1.0,0.1667,0.2857
禁销/宗教-其他充气产品,1.0,1.0,1.0,1.0
禁销/宗教-抱枕/靠垫,1.0,0.0,0.0,0.0
禁销-缝纫配件,1.0,0.0,0.0,0.0
禁销/医疗器械-其它烘焙器具,1.0,0.0,0.0,0.0
禁销/医疗器械-其它日用家电,1.0,0.0,0.0,0.0
禁销/医疗器械-其它按摩器材,1.0,0.0,0.0,0.0
禁销-鱼缸清洁用具,1.0,0.0,0.0,0.0
禁销-苹果手机保护壳/套,1.0,0.0,0.0,0.0
禁销-耳机配件,1.0,0.0,0.0,0.0
禁销-短袖衬衫,1.0,0.0,0.0,0.0
禁销/宗教-其他Polo衫,1.0,1.0,0.5,0.6667
禁销-短袖Polo衫,1.0,0.0,0.0,0.0
禁销-漏食球,1.0,0.0,0.0,0.0
禁销-挂毯/壁毯,1.0,0.0,0.0,0.0
禁销-户外面罩,1.0,0.0,0.0,0.0
禁销-小夜灯,1.0,0.0,0.0,0.0
禁销-家居服套装,1.0,0.0,0.0,0.0
禁销/医疗器械-口腔护理工具,1.0,0.0,0.0,0.0
禁销/医疗器械-拔罐器,1.0,0.0,0.0,0.0
禁销/医疗器械-马克杯,1.0,0.0,0.0,0.0
禁销/危险化学品类-其它节庆用品,1.0,0.0,0.0,0.0
禁销/安全隐患类-其它节庆用品,1.0,0.0,0.0,0.0
禁销/安全隐患类-冰箱磁性贴,1.0,0.0,0.0,0.0
禁销/安全隐患类-胸针,1.0,0.0,0.0,0.0
禁销/宗教-Cosplay男装,1.0,1.0,0.5,0.6667
禁销/宗教-Hifi音箱,1.0,1.0,1.0,1.0
禁销-其它美容/美体工具,1.0,0.0,0.0,0.0
禁销/宗教-三明治机,1.0,1.0,1.0,1.0
禁销/宗教-不干胶标签,1.0,0.0,0.0,0.0
禁销/宗教-中袖T恤,1.0,0.0,0.0,0.0
禁销/宗教-乐福鞋/单鞋,1.0,0.0,0.0,0.0
禁销/宗教-亚洲模特套装,1.0,0.0,0.0,0.0
禁销/宗教-保温杯,1.0,0.0,0.0,0.0
禁销/宗教-其他,1.0,1.0,0.2,0.3333
禁销/宗教-抱婴腰带/腰凳,1.0,1.0,1.0,1.0
禁销/宗教-排梳,1.0,1.0,1.0,1.0
禁销/电子类违禁产品-智能手环,1.0,0.0,0.0,0.0
禁销/宗教-阿拉伯女装,1.0,0.0,0.0,0.0
禁销/宗教-马克笔,1.0,0.0,0.0,0.0
禁销/宗教-首饰盒,1.0,1.0,0.3333,0.5
禁销/宗教-首饰展示架,1.0,1.0,1.0,1.0
禁销/宗教-餐桌罩,1.0,1.0,1.0,1.0
禁销/宗教-餐具瓷器套装,1.0,1.0,0.3333,0.5
禁销/宗教-领带夹,1.0,1.0,0.5,0.6667
禁销/宗教-钢笔,1.0,0.0,0.0,0.0
禁销/宗教-美甲饰品,1.0,0.0,0.0,0.0
禁销/宗教-野餐篮/鸡蛋蓝/食品袋,1.0,0.0,0.0,0.0
禁销/宗教-野餐炉具,1.0,1.0,0.0833,0.1538
禁销/宗教-野餐垫,1.0,1.0,1.0,1.0
禁销/宗教-连体短裤,1.0,0.0,0.0,0.0
禁销/宗教-连体泳衣,1.0,1.0,1.0,1.0
禁销/宗教-装饰台灯,1.0,1.0,0.25,0.4
禁销/易燃易爆品-三星手机保护壳/套,1.0,0.0,0.0,0.0
禁销/易燃易爆品-其他手机保护壳/套,1.0,0.0,0.0,0.0
禁销/易燃易爆品-婚庆印章,1.0,0.0,0.0,0.0
