,出现次数,召回率,查准率,f1-score
balenciaga-手链,3.0,1.0,1.0,1.0
hugo_boss-外穿背心/吊带,3.0,1.0,1.0,1.0
ralph_lauren-衬衫,3.0,1.0,1.0,1.0
puma-时尚拖鞋,3.0,1.0,0.3333,0.5
kaws-床品套件/四件套/多件套,3.0,0.6667,1.0,0.8
giuseppe_zanotti-休闲鞋,3.0,1.0,1.0,1.0
kaws-苹果手机保护壳/套,3.0,0.0,0.0,0.0
vogue-短袖T恤,3.0,0.0,0.0,0.0
pokemon-家居服套装,3.0,1.0,1.0,1.0
louis_vuitton-休闲长裤,3.0,1.0,0.75,0.8571
armani-套装（不包含爬服类）,3.0,1.0,0.375,0.5455
los_angeles_dodgers-休闲鞋,3.0,0.0,0.0,0.0
lonsdale-短袖T恤,3.0,0.0,0.0,0.0
louis_vuitton-包挂件,3.0,1.0,1.0,1.0
louis_vuitton-华为手机保护壳/套,3.0,1.0,1.0,1.0
pop-人偶/摆件/硬体公仔,3.0,0.0,0.0,0.0
pop-其它手办,3.0,0.0,0.0,0.0
loewe-宽沿帽/太阳帽,3.0,1.0,1.0,1.0
armani-夹克/外套,3.0,1.0,0.75,0.8571
armani-外穿背心/吊带,3.0,1.0,1.0,1.0
louis_vuitton-夹克/外套,3.0,0.6667,1.0,0.8
armani-男士跑步鞋,3.0,1.0,0.0789,0.1463
prada-低跟凉鞋,3.0,1.0,1.0,1.0
line_town-钢笔,3.0,0.0,0.0,0.0
vlone-短袖T恤,3.0,1.0,0.75,0.8571
armani-男运动中长裤、短裤,3.0,1.0,0.75,0.8571
louis_vuitton-女式钱包,3.0,1.0,0.4286,0.6
vivienne_westwood-耳环,3.0,0.0,0.0,0.0
lacoste-无模特套装,3.0,1.0,1.0,1.0
prada-苹果手机保护壳/套,3.0,1.0,1.0,1.0
lacoste-外穿背心/吊带,3.0,1.0,1.0,1.0
louis_vuitton-旅行袋,3.0,1.0,1.0,1.0
puma-休闲鞋,3.0,0.6667,0.0769,0.1379
puma-外穿背心/吊带,3.0,1.0,1.0,1.0
balenciaga-运动鞋,3.0,1.0,0.6,0.75
balenciaga-连体短裤,3.0,1.0,1.0,1.0
honda-短袖Polo衫,3.0,1.0,1.0,1.0
bally-乐福鞋,3.0,1.0,1.0,1.0
black_pink-短袖T恤,3.0,0.0,0.0,0.0
black_pink-苹果手机保护壳/套,3.0,0.0,0.0,0.0
versace-咖啡杯,3.0,1.0,0.6,0.75
gucci-手镯,3.0,1.0,0.6,0.75
gucci-手链,3.0,1.0,0.1304,0.2308
bmw-短袖Polo衫,3.0,0.0,0.0,0.0
bottega_veneta-休闲皮鞋,3.0,0.0,0.0,0.0
versace-两件套,3.0,1.0,0.3,0.4615
gucci-坡跟凉鞋,3.0,1.0,0.3333,0.5
versace-X型连衣裙,3.0,1.0,0.15,0.2609
bottega_veneta-帆布鞋,3.0,1.0,1.0,1.0
versace-H型连衣裙,3.0,1.0,0.375,0.5455
bottega_veneta-手提包,3.0,0.0,0.0,0.0
bottega_veneta-男式钱包,3.0,1.0,1.0,1.0
bottega_veneta-高跟鞋,3.0,0.0,0.0,0.0
mercedes_benz-马克杯,3.0,0.3333,1.0,0.5
boy_london-无模特套装,3.0,1.0,1.0,1.0
boy_london-时尚拖鞋,3.0,1.0,1.0,1.0
graff-手链,3.0,0.0,0.0,0.0
goyard-拎包/手提包,3.0,1.0,0.75,0.8571
goyard-手拿包,3.0,1.0,1.0,1.0
snoopy-套装（不包含爬服类）,3.0,1.0,1.0,1.0
snoopy-女袜,3.0,1.0,1.0,1.0
golden_goose_deluxe_brand-男式板鞋,3.0,0.0,0.0,0.0
golden_goose_deluxe_brand-凉鞋,3.0,0.0,0.0,0.0
michael_kors-皮带/腰带,3.0,1.0,1.0,1.0
michael_kors-腰包/胸包,3.0,1.0,0.5,0.6667
gucci-板鞋,3.0,0.3333,0.3333,0.3333
gucci-正装皮鞋,3.0,1.0,0.1667,0.2857
gucci-牛仔短裤,3.0,1.0,0.75,0.8571
rolex-现代装饰画,3.0,1.0,1.0,1.0
marc_jacobs-斜挎小包,3.0,1.0,0.75,0.8571
hermes-短袖Polo衫,3.0,0.6667,1.0,0.8
hermes-男士内裤,3.0,1.0,1.0,1.0
bally-斜挎小包,3.0,1.0,1.0,1.0
balmain-无模特套装,3.0,1.0,1.0,1.0
hermes-戒指/指环,3.0,0.3333,1.0,0.5
hermes-墨镜,3.0,1.0,1.0,1.0
versace-牛仔短裤,3.0,1.0,1.0,1.0
marvel-其它手办,3.0,1.0,1.0,1.0
roblox-连身衣/爬服/哈衣,3.0,0.0,0.0,0.0
marvel-外穿背心/吊带,3.0,1.0,1.0,1.0
hello_kitty-项链,3.0,1.0,0.75,0.8571
bape-短袖T恤,3.0,1.0,0.75,0.8571
versace-套装（不包含爬服类）,3.0,1.0,0.1429,0.25
philipp_plein-休闲皮鞋,3.0,1.0,0.6,0.75
batman-儿童袜子(0-16岁),3.0,1.0,1.0,1.0
hello_kitty-三星手机保护壳/套,3.0,1.0,1.0,1.0
harry_winston-戒指/指环,3.0,0.0,0.0,0.0
harley_davidson-夹克/外套,3.0,1.0,1.0,1.0
dsquared2-休闲长裤,3.0,0.6667,1.0,0.8
maserati-男式板鞋,3.0,0.0,0.0,0.0
batman-男士背包,3.0,1.0,1.0,1.0
samsung-其它手机饰品,3.0,1.0,0.6,0.75
samsung-手机电池,3.0,1.0,1.0,1.0
bestway-充气床,3.0,1.0,0.75,0.8571
mcdonalds-短袖T恤,3.0,0.0,0.0,0.0
gucci-靴子,3.0,1.0,0.0667,0.125
louis_vuitton-丝巾,3.0,1.0,0.75,0.8571
disney_frozen-板鞋,3.0,0.3333,1.0,0.5
supreme-短袖T恤,3.0,0.6667,0.3333,0.4444
adidas-现代装饰画,3.0,1.0,1.0,1.0
disney_stellalou-连衣裙,3.0,0.0,0.0,0.0
supreme-苹果手机保护壳/套,3.0,1.0,0.6,0.75
tiktok-泳衣套装,3.0,0.6667,1.0,0.8
travis_scott-马克杯,3.0,0.0,0.0,0.0
adidas-男士健身套装,3.0,0.6667,1.0,0.8
christian_dior-男士背包,3.0,1.0,1.0,1.0
comme_des_garcons-男式板鞋,3.0,1.0,1.0,1.0
deadpool-现代装饰画,3.0,1.0,1.0,1.0
christian_dior-分体泳衣,3.0,1.0,1.0,1.0
chanel-套装（不包含爬服类）,3.0,1.0,0.2,0.3333
new_york_yankees-夹克/外套,3.0,1.0,0.75,0.8571
christian_dior-短袖Polo衫,3.0,0.6667,0.6667,0.6667
christian_dior-围巾/丝巾/披肩,3.0,1.0,1.0,1.0
adidas-帆布鞋,3.0,1.0,0.6,0.75
dolce_gabbana-无模特套装,3.0,1.0,1.0,1.0
chaumet-耳钉,3.0,1.0,1.0,1.0
yves_saint_laurent-耳环,3.0,1.0,1.0,1.0
supreme-时尚拖鞋,3.0,1.0,0.1765,0.3
adidas-男运动长裤,3.0,0.6667,0.5,0.5714
yves_saint_laurent-耳钉,3.0,1.0,1.0,1.0
thom_browne-时尚拖鞋,3.0,0.0,0.0,0.0
calvin_klein-文胸套装,3.0,1.0,1.0,1.0
donald_duck-套装（不包含爬服类）,3.0,1.0,1.0,1.0
coca_cola-板鞋,3.0,1.0,1.0,1.0
tommy_hilfiger-男士塑身上衣,3.0,1.0,1.0,1.0
mlb-鸭舌帽,3.0,1.0,1.0,1.0
disney_stellalou-床品套件/四件套/多件套,3.0,0.0,0.0,0.0
adidas-夹克/外套,3.0,0.3333,1.0,0.5
burberry-连体泳衣,3.0,1.0,1.0,1.0
disney_princess-儿童袜子(0-16岁),3.0,0.0,0.0,0.0
moncler-短袖T恤,3.0,1.0,1.0,1.0
bvlgari-单肩包,3.0,0.6667,1.0,0.8
christian_dior-平底凉鞋,3.0,1.0,0.375,0.5455
chanel-欧美模特套装,3.0,1.0,0.1304,0.2308
the_simpsons-短袖T恤,3.0,0.0,0.0,0.0
moncler-夹克/外套,3.0,1.0,1.0,1.0
tesla-短袖T恤,3.0,0.0,0.0,0.0
disney_princess-短袖T恤,3.0,0.0,0.0,0.0
christian_dior-戒指/指环,3.0,1.0,0.6,0.75
nike-衬衫,3.0,1.0,0.4286,0.6
cartelo-男士跑步鞋,3.0,0.0,0.0,0.0
ac_dc-短袖T恤,3.0,0.0,0.0,0.0
nike-摆件,3.0,1.0,0.6,0.75
tiffany_co-项链,3.0,1.0,0.375,0.5455
chanel-打底裤,3.0,1.0,1.0,1.0
tom_ford-框架眼镜,3.0,0.0,0.0,0.0
disney_princess-马克杯,3.0,0.0,0.0,0.0
chanel-打底袜,3.0,1.0,1.0,1.0
tom_ford-彩色太阳镜,3.0,0.0,0.0,0.0
chanel-连体长裤,3.0,1.0,0.2308,0.375
adidas-运动鞋,3.0,0.6667,0.6667,0.6667
chanel-手链,3.0,1.0,0.2,0.3333
mona_lisa-马克杯,3.0,0.0,0.0,0.0
nasa-短袖T恤,3.0,1.0,0.75,0.8571
tommy_hilfiger-女士上衣,3.0,1.0,1.0,1.0
christian_dior-耳钉,3.0,0.6667,0.5,0.5714
thrasher-沙滩裤,3.0,1.0,1.0,1.0
calvin_klein-外穿背心/吊带,3.0,1.0,1.0,1.0
naruto-宣传单/海报/说明书,3.0,0.0,0.0,0.0
coach-创意零钱包,3.0,1.0,1.0,1.0
thom_browne-男式钱包,3.0,0.0,0.0,0.0
doraemon-马克杯,3.0,0.0,0.0,0.0
superman-马克杯,3.0,0.0,0.0,0.0
valentino-休闲皮鞋,3.0,1.0,0.2308,0.375
thom_browne-短袖T恤,3.0,0.0,0.0,0.0
burberry-长袖衬衫,3.0,0.6667,0.2,0.3077
umbro-时尚/休闲套装,3.0,0.6667,1.0,0.8
calvin_klein-女士上衣,3.0,1.0,1.0,1.0
calvin_klein-套装（不包含爬服类）,3.0,1.0,1.0,1.0
christian_dior-S型连衣裙,3.0,1.0,0.1875,0.3158
chrome_hearts-正装皮鞋,3.0,1.0,0.75,0.8571
the_north_face-宠物服装/雨衣,3.0,1.0,1.0,1.0
celine-框架眼镜,3.0,1.0,1.0,1.0
valentino-时尚/休闲套装,3.0,1.0,1.0,1.0
chrome_hearts-夹克/外套,3.0,1.0,1.0,1.0
chrome_hearts-彩色太阳镜,3.0,1.0,1.0,1.0
chrome_hearts-时尚/休闲套装,3.0,1.0,1.0,1.0
burberry-男式睡衣/家居服套装,3.0,1.0,1.0,1.0
chrome_hearts-戒指/指环,3.0,1.0,0.2,0.3333
drew-短袖Polo衫,3.0,0.0,0.0,0.0
valentino-正装皮鞋,3.0,1.0,0.4286,0.6
2022北京冬奥-时尚/休闲套装,3.0,1.0,1.0,1.0
valentino-皮带/腰带,3.0,1.0,0.75,0.8571
thrasher-Polo衫,3.0,1.0,1.0,1.0
daiwa-坎肩T恤,3.0,1.0,1.0,1.0
new_york_yankees-凉鞋,3.0,1.0,0.0732,0.1364
tiktok-短袖T恤,3.0,0.6667,1.0,0.8
supreme-凉鞋,3.0,1.0,0.1875,0.3158
coach-机械表,3.0,1.0,1.0,1.0
miu_miu-拎包/手提包,3.0,1.0,0.5,0.6667
christian_dior-运动鞋,3.0,0.6667,0.3333,0.4444
nike-夹克/外套,3.0,1.0,0.75,0.8571
calvin_klein-女士内裤,3.0,1.0,1.0,1.0
the_north_face-夹克/外套,3.0,1.0,1.0,1.0
under_armour-短袖Polo衫,3.0,1.0,1.0,1.0
miu_miu-高跟凉鞋,3.0,1.0,0.75,0.8571
supreme-凉拖鞋,3.0,0.3333,0.1,0.1538
toy_story-套装（不包含爬服类）,3.0,0.0,0.0,0.0
balenciaga-连体长裤,2.0,1.0,0.6667,0.8
chopard-戒指/指环,2.0,1.0,1.0,1.0
captain_america-T恤,2.0,0.5,1.0,0.6667
christian_dior-女士上衣,2.0,1.0,0.25,0.4
new_orleans_saints-马克杯,2.0,1.0,1.0,1.0
chopard-电子表,2.0,1.0,1.0,1.0
umbro-男士足球服,2.0,0.5,0.5,0.5
nike-男士健身套装,2.0,1.0,1.0,1.0
louis_vuitton-鸭舌帽,2.0,1.0,0.25,0.4
new_orleans_saints-短袖T恤,2.0,1.0,1.0,1.0
manchester_united-时尚/休闲套装,2.0,0.0,0.0,0.0
pittsburgh_steelers-马克杯,2.0,1.0,1.0,1.0
amongus-T恤,2.0,0.0,0.0,0.0
timberland-时尚/休闲套装,2.0,1.0,1.0,1.0
ralph_lauren-无模特套装,2.0,1.0,1.0,1.0
christian_dior-女士跑步鞋,2.0,1.0,0.5,0.6667
ralph_lauren-连体长裤,2.0,1.0,1.0,1.0
versace-石英表,2.0,1.0,0.08,0.1481
chopard-项链,2.0,1.0,1.0,1.0
balenciaga-单肩包,2.0,1.0,0.1818,0.3077
balenciaga-打底袜,2.0,1.0,1.0,1.0
versace-腰包/胸包,2.0,1.0,0.5,0.6667
tiktok-男士跑步鞋,2.0,0.5,0.5,0.5
pittsburgh_steelers-苹果手机保护壳/套,2.0,1.0,1.0,1.0
christian_dior-两件套,2.0,1.0,0.6667,0.8
hugo_boss-女士上衣,2.0,1.0,1.0,1.0
captain_america-其它手办,2.0,1.0,1.0,1.0
machester_united-短袖Polo衫,2.0,0.0,0.0,0.0
new_england_patriots-苹果手机保护壳/套,2.0,1.0,1.0,1.0
hugo_boss-墨镜,2.0,1.0,1.0,1.0
ralph_lauren-休闲短裤,2.0,1.0,1.0,1.0
hugo_boss-连体短裤,2.0,1.0,1.0,1.0
ralph_lauren-女士上衣,2.0,1.0,1.0,1.0
inter_milan-短袖Polo衫,2.0,0.0,0.0,0.0
versace-礼服/晚装,2.0,1.0,0.2857,0.4444
christian_dior-丝巾,2.0,1.0,1.0,1.0
invicta-石英表,2.0,0.0,0.0,0.0
pink_panther-现代装饰画,2.0,0.0,0.0,0.0
christian_dior-三件套,2.0,1.0,1.0,1.0
captain_america-儿童袜子(0-16岁),2.0,1.0,1.0,1.0
iron_man-儿童袜子(0-16岁),2.0,1.0,1.0,1.0
adidas-亚洲模特套装,2.0,0.0,0.0,0.0
versace-苹果手机保护壳/套,2.0,1.0,0.0909,0.1667
hugo_boss-连体长裤,2.0,1.0,1.0,1.0
christian_dior-斜挎包,2.0,1.0,1.0,1.0
honda-夹克/外套,2.0,1.0,1.0,1.0
thrasher-男士背心,2.0,1.0,1.0,1.0
versace-框架眼镜,2.0,1.0,1.0,1.0
hello_kitty-纹身贴,2.0,1.0,1.0,1.0
christian_dior-连体泳衣,2.0,0.5,1.0,0.6667
bape-男式板鞋,2.0,1.0,1.0,1.0
thrasher-休闲短裤,2.0,1.0,1.0,1.0
hello_kitty-钥匙扣,2.0,1.0,1.0,1.0
hello_kitty-防晒袖套,2.0,1.0,0.6667,0.8
philipp_plein-凉鞋,2.0,1.0,0.6667,0.8
new_balance-时尚/休闲套装,2.0,1.0,1.0,1.0
versace-比基尼,2.0,1.0,0.2222,0.3636
helly_hansen-时尚/休闲套装,2.0,0.0,0.0,0.0
christian_dior-礼帽,2.0,1.0,1.0,1.0
hermes-X型连衣裙,2.0,0.5,1.0,0.6667
hermes-乐福鞋,2.0,1.0,1.0,1.0
hermes-乐福鞋/单鞋,2.0,1.0,0.5,0.6667
rolls_royce-马克杯,2.0,0.0,0.0,0.0
sailor_moon-其它手办,2.0,0.0,0.0,0.0
bape-项链,2.0,1.0,1.0,1.0
harry_winston-项链,2.0,0.0,0.0,0.0
burberry-沙滩裤,2.0,1.0,1.0,1.0
maserati-凉拖鞋,2.0,1.0,0.6667,0.8
chrome_hearts-其他手机保护壳/套,2.0,1.0,1.0,1.0
salvatore_ferragamo-乐福鞋,2.0,0.5,0.5,0.5
yves_saint_laurent-女士上衣,2.0,1.0,0.6667,0.8
harry_winston-耳钉,2.0,0.0,0.0,0.0
hello_kitty-休闲鞋,2.0,1.0,1.0,1.0
hello_kitty-数码收纳整理包,2.0,1.0,1.0,1.0
salomon-短袖T恤,2.0,1.0,1.0,1.0
philadelphia_eagles-戒指/指环,2.0,1.0,1.0,1.0
hello_kitty-女士睡衣/家居服套装,2.0,1.0,1.0,1.0
hello_kitty-女袜,2.0,1.0,0.6667,0.8
hello_kitty-家居服套装,2.0,1.0,0.6667,0.8
salomon-时尚/休闲套装,2.0,1.0,1.0,1.0
roberto_cavalli-短袖T恤,2.0,0.0,0.0,0.0
versace-牛仔长裤,2.0,0.5,0.1667,0.25
versace-短袖Polo衫,2.0,1.0,0.3333,0.5
marshall-短袖T恤,2.0,1.0,1.0,1.0
marilyn_monroe-现代装饰画,2.0,0.0,0.0,0.0
christian_dior-打底袜,2.0,1.0,1.0,1.0
hermes-机械表,2.0,0.5,1.0,0.6667
red_bull-短袖T恤,2.0,1.0,1.0,1.0
hermes-男式板鞋,2.0,1.0,1.0,1.0
hermes-皮带/腰带,2.0,1.0,0.6667,0.8
marcelo_burlon-时尚拖鞋,2.0,1.0,1.0,1.0
canada-短袖T恤,2.0,0.0,0.0,0.0
marc_jacobs-拎包/手提包,2.0,1.0,0.3333,0.5
hermes-耳钉,2.0,1.0,1.0,1.0
hermes-苹果手机保护壳/套,2.0,1.0,1.0,1.0
christian_dior-床品套件/四件套/多件套,2.0,1.0,0.6667,0.8
hermes-钥匙扣,2.0,1.0,1.0,1.0
cap-坎肩T恤,2.0,0.0,0.0,0.0
real_madrid-短袖Polo衫,2.0,0.0,0.0,0.0
calvin_klein-连体短裤,2.0,1.0,1.0,1.0
reebok-帆布鞋,2.0,1.0,0.6667,0.8
iwc_schaffhausen-机械表,2.0,0.0,0.0,0.0
reebok-短袖T恤,2.0,1.0,0.6667,0.8
hermes-围巾,2.0,1.0,1.0,1.0
hermes-围巾/丝巾/披肩,2.0,0.5,0.5,0.5
marshall-坎肩T恤,2.0,1.0,1.0,1.0
calvin_klein-男运动长裤,2.0,1.0,1.0,1.0
hermes-女士睡衣/家居服套装,2.0,1.0,1.0,1.0
christian_dior-现代装饰画,2.0,0.5,1.0,0.6667
christian_dior-沙滩裤,2.0,1.0,1.0,1.0
hermes-手链,2.0,1.0,1.0,1.0
balmain-短袖Polo衫,2.0,1.0,1.0,1.0
tide-马克杯,2.0,1.0,1.0,1.0
tiffany_co-戒指/指环,2.0,1.0,0.5,0.6667
christian_dior-旅行袋,2.0,1.0,1.0,1.0
under_armour-夹克/外套,2.0,1.0,1.0,1.0
balmain-时尚/休闲套装,2.0,1.0,0.6667,0.8
chloe-凉鞋,2.0,1.0,0.25,0.4
dsquared2-休闲短裤,2.0,1.0,1.0,1.0
new_york_jets-女装卫衣,2.0,1.0,1.0,1.0
poppy_playtime-T恤,2.0,0.0,0.0,0.0
levis-短袖T恤,2.0,1.0,1.0,1.0
armani-凉拖鞋,2.0,1.0,0.5,0.6667
toyota-短袖Polo衫,2.0,0.0,0.0,0.0
louis_vuitton-女士跑步鞋,2.0,1.0,0.4,0.5714
new_york_yankees-项链,2.0,1.0,0.1818,0.3077
chanel-低跟凉鞋,2.0,1.0,0.2857,0.4444
prada-休闲皮鞋,2.0,1.0,0.4,0.5714
toy_story-耳机配件,2.0,0.0,0.0,0.0
armani-圆领卫衣,2.0,1.0,1.0,1.0
chanel-丝巾,2.0,1.0,0.5,0.6667
vogue-斜挎包/拎包/腰包,2.0,0.0,0.0,0.0
liverpool_fc-短袖Polo衫,2.0,1.0,1.0,1.0
neymar-男士足球服,2.0,0.0,0.0,0.0
louis_vuitton-卡包,2.0,1.0,1.0,1.0
toy_story-摆件,2.0,0.0,0.0,0.0
loewe-墨镜,2.0,1.0,1.0,1.0
nike-女士上衣,2.0,1.0,0.5,0.6667
armani-男运动长裤,2.0,1.0,1.0,1.0
levis-时尚/休闲套装,2.0,1.0,1.0,1.0
armani-皮带/腰带,2.0,1.0,1.0,1.0
louis_vuitton-床单,2.0,1.0,0.2857,0.4444
louis_vuitton-床笠,2.0,1.0,0.4,0.5714
tommy_hilfiger-女士内裤,2.0,1.0,1.0,1.0
lamborghini-时尚/休闲套装,2.0,0.0,0.0,0.0
triumph-马克杯,2.0,0.0,0.0,0.0
prada-框架眼镜,2.0,1.0,1.0,1.0
chanel-戒指/指环,2.0,1.0,0.1053,0.1905
vineyard_vines-马克杯,2.0,0.0,0.0,0.0
prada-拎包/手提包,2.0,1.0,0.5,0.6667
prada-彩色太阳镜,2.0,1.0,1.0,1.0
armani-连体短裤,2.0,1.0,1.0,1.0
playstation-马克杯,2.0,0.5,1.0,0.6667
louis_vuitton-帆布鞋,2.0,1.0,1.0,1.0
le_coq_sportif-坎肩T恤,2.0,0.0,0.0,0.0
le_coq_sportif-外穿背心/吊带,2.0,0.0,0.0,0.0
tommy_hilfiger-女士瑜伽裤,2.0,1.0,1.0,1.0
tommy_hilfiger-文胸套装,2.0,1.0,1.0,1.0
celine-凉鞋,2.0,0.5,0.1429,0.2222
champion-短袖Polo衫,2.0,1.0,1.0,1.0
louis_vuitton-耳机配件,2.0,1.0,1.0,1.0
loewe-时尚/休闲套装,2.0,1.0,0.6667,0.8
celine-女士背包,2.0,1.0,1.0,1.0
celine-短靴,2.0,1.0,0.6667,0.8
celine-短袖T恤,2.0,0.5,0.3333,0.4
tous-项链,2.0,0.0,0.0,0.0
los_angeles_dodgers-现代装饰画,2.0,0.0,0.0,0.0
toy_story-三星手机保护壳/套,2.0,0.0,0.0,0.0
armani-女士上衣,2.0,1.0,1.0,1.0
los_angeles_lakers-宣传单/海报/说明书,2.0,1.0,1.0,1.0
los_angeles_lakers-戒指/指环,2.0,0.5,1.0,0.6667
los_angeles_lakers-男士篮球服,2.0,1.0,1.0,1.0
los_angeles_lakers-短袖T恤,2.0,1.0,1.0,1.0
louis_vuitton-休闲皮鞋,2.0,1.0,0.0833,0.1538
pokemon-套装（不包含爬服类）,2.0,1.0,1.0,1.0
pokemon-小夜灯,2.0,1.0,1.0,1.0
armani-女装卫衣,2.0,1.0,1.0,1.0
toy_story-儿童袜子(0-16岁),2.0,0.0,0.0,0.0
pokemon-宣传单/海报/说明书,2.0,1.0,1.0,1.0
lonsdale-男士背心,2.0,0.0,0.0,0.0
pokemon-笔记本个性小贴纸,2.0,1.0,1.0,1.0
armani-打底裤,2.0,1.0,1.0,1.0
tory_burch-耳钉,2.0,1.0,0.6667,0.8
tory_burch-乐福鞋/单鞋,2.0,1.0,0.3333,0.5
loewe-智能手表手环表带/腕带,2.0,1.0,0.1,0.1818
champion-时尚拖鞋,2.0,1.0,0.25,0.4
loewe-胸针,2.0,1.0,0.6667,0.8
loewe-衬衫,2.0,1.0,0.2857,0.4444
pokemon-马克杯,2.0,0.0,0.0,0.0
celine-女士上衣,2.0,1.0,0.6667,0.8
lol_surprise-T恤,2.0,1.0,1.0,1.0
2022北京冬奥-短袖T恤,2.0,0.0,0.0,0.0
pokemon-连身衣/爬服/哈衣,2.0,1.0,1.0,1.0
celine-高跟鞋,2.0,1.0,0.3333,0.5
lol_surprise-帽子,2.0,1.0,1.0,1.0
lol_surprise-运动鞋,2.0,1.0,1.0,1.0
nike-T恤,2.0,1.0,0.2857,0.4444
pokemon-耳机配件,2.0,1.0,1.0,1.0
louis_vuitton-凉鞋,2.0,1.0,0.2857,0.4444
prada-短袖Polo衫,2.0,1.0,1.0,1.0
arsenal-摆件,2.0,1.0,1.0,1.0
volkswagen-时尚/休闲套装,2.0,0.0,0.0,0.0
as_seen_on_tv-其它日用家电,2.0,0.0,0.0,0.0
guess-短袖T恤,2.0,1.0,0.6667,0.8
versace-阿拉伯女装,2.0,1.0,0.1538,0.2667
puma-男士足球服,2.0,1.0,0.6667,0.8
juventus-坎肩T恤,2.0,1.0,1.0,1.0
umbro-坎肩T恤,2.0,1.0,1.0,1.0
tom_and_jerry-男士内裤,2.0,0.5,1.0,0.6667
louis_vuitton-正装皮鞋,2.0,1.0,0.1818,0.3077
new_york_yankees-宽沿帽/太阳帽,2.0,1.0,1.0,1.0
kappa-男士足球服,2.0,1.0,1.0,1.0
2022北京冬奥-摆件,2.0,1.0,1.0,1.0
ulysse_nardin-石英表,2.0,1.0,1.0,1.0
versace-马克杯,2.0,1.0,0.2857,0.4444
new_york_yankees-帆布鞋,2.0,1.0,0.2222,0.3636
aston_martin-马克杯,2.0,0.0,0.0,0.0
new_york_yankees-戒指/指环,2.0,1.0,0.2,0.3333
karl_lagerfeld-耳机配件,2.0,0.0,0.0,0.0
versace-高跟鞋,2.0,1.0,0.1818,0.3077
new_york_yankees-墨镜,2.0,1.0,0.6667,0.8
just_do_it-男运动长裤,2.0,1.0,1.0,1.0
new_york_yankees-凉拖鞋,2.0,1.0,0.2222,0.3636
new_york_jets-鸭舌帽,2.0,1.0,1.0,1.0
chicago_bulls-鸭舌帽,2.0,1.0,1.0,1.0
avengers-休闲长裤,2.0,0.0,0.0,0.0
jaeger_lecoultre-电子表,2.0,0.5,1.0,0.6667
louis_vuitton-皮鞋,2.0,1.0,0.5,0.6667
adidas-S型连衣裙,2.0,1.0,1.0,1.0
jaguar-马克杯,2.0,0.0,0.0,0.0
jeep-套装（不包含爬服类）,2.0,1.0,1.0,1.0
new_york_yankees-乐福鞋,2.0,1.0,0.3333,0.5
puma-男运动长裤,2.0,1.0,1.0,1.0
chicago_bulls-戒指/指环,2.0,0.0,0.0,0.0
audi-马克杯,2.0,1.0,1.0,1.0
tods-乐福鞋/单鞋,2.0,1.0,0.6667,0.8
tods-休闲皮鞋,2.0,1.0,1.0,1.0
yves_saint_laurent-手镯,2.0,1.0,1.0,1.0
versace-连衣裙,2.0,1.0,0.2,0.3333
chicago_bears-女装卫衣,2.0,1.0,1.0,1.0
louis_vuitton-机械表,2.0,1.0,0.6667,0.8
kaws-休闲鞋,2.0,1.0,1.0,1.0
kaws-其它手办,2.0,1.0,1.0,1.0
lacoste-女士瑜伽裤,2.0,1.0,1.0,1.0
tommy_hilfiger-外穿背心/吊带,2.0,1.0,1.0,1.0
cartier-手链,2.0,0.0,0.0,0.0
prada-长袖衬衫,2.0,1.0,1.0,1.0
chanel-机械表,2.0,1.0,1.0,1.0
lacoste-夹克/外套,2.0,1.0,1.0,1.0
lacoste-套装（不包含爬服类）,2.0,1.0,1.0,1.0
lacoste-女士上衣,2.0,1.0,1.0,1.0
trump-马克杯,2.0,0.0,0.0,0.0
asics-坎肩T恤,2.0,0.5,1.0,0.6667
prada-耳钉,2.0,1.0,1.0,1.0
lacoste-打底裤,2.0,1.0,1.0,1.0
tommy_hilfiger-套装（不包含爬服类）,2.0,1.0,1.0,1.0
playstation-其它手办,2.0,1.0,1.0,1.0
lacoste-男士健身衣,2.0,1.0,1.0,1.0
lacoste-男士塑身上衣,2.0,1.0,1.0,1.0
lacoste-男运动中长裤、短裤,2.0,1.0,1.0,1.0
chanel-电子表,2.0,1.0,0.1667,0.2857
lacasadepapel-T恤,2.0,0.0,0.0,0.0
puma-女士上衣,2.0,1.0,1.0,1.0
ufc-坎肩T恤,2.0,1.0,1.0,1.0
kaws-套装（不包含爬服类）,2.0,1.0,1.0,1.0
kaws-时尚/休闲套装,2.0,1.0,1.0,1.0
chanel-连衣裙,2.0,0.5,0.25,0.3333
kaws-短袖T恤,2.0,0.5,0.5,0.5
kenzo_takada-休闲长裤,2.0,1.0,1.0,1.0
chanel-腰链,2.0,1.0,1.0,1.0
kenzo_takada-套装（不包含爬服类）,2.0,1.0,1.0,1.0
asics-运动鞋,2.0,1.0,1.0,1.0
asics-时尚/休闲套装,2.0,0.0,0.0,0.0
cartier-墨镜,2.0,1.0,1.0,1.0
kenzo_takada-男式板鞋,2.0,0.0,0.0,0.0
puma-休闲长裤,2.0,1.0,1.0,1.0
yves_saint_laurent-时尚拖鞋,2.0,1.0,0.5,0.6667
kenzo_takada-短袖Polo衫,2.0,0.5,1.0,0.6667
tommy_hilfiger-厚底凉鞋,2.0,1.0,1.0,1.0
kenzo_takada-苹果手机保护壳/套,2.0,1.0,1.0,1.0
