,出现次数,召回率,查准率,f1-score
bottega_veneta-手拿包,23.0,0.7391,1.0,0.85
bottega_veneta-斜挎小包,23.0,0.5217,0.9231,0.6667
marvel-马克杯,23.0,0.9565,1.0,0.9778
gucci-拎包/手提包,23.0,0.913,0.2877,0.4375
adidas-连体长裤,23.0,1.0,1.0,1.0
captain_america-马克杯,23.0,0.8261,1.0,0.9048
gucci-腰包/胸包,23.0,1.0,0.8846,0.9388
off_white-男式板鞋,23.0,0.6957,0.8421,0.7619
puma-短袖Polo衫,22.0,1.0,0.8462,0.9167
valentino-时尚拖鞋,22.0,1.0,0.55,0.7097
my_neighbour_totoro-短袖T恤,22.0,0.0,0.0,0.0
dsquared2-无模特套装,22.0,1.0,1.0,1.0
nike-休闲长裤,22.0,0.9545,0.3559,0.5185
palm_angels-短袖Polo衫,22.0,0.3636,1.0,0.5333
longines-机械表,22.0,1.0,1.0,1.0
versace-男式板鞋,22.0,0.9091,0.7407,0.8163
armani-Polo衫,22.0,1.0,1.0,1.0
thom_browne-男式板鞋,21.0,0.0476,1.0,0.0909
gucci-凉鞋,21.0,0.7619,0.3478,0.4776
burberry-休闲鞋,21.0,0.7143,0.5,0.5882
gucci-宽沿帽/太阳帽,21.0,1.0,0.75,0.8571
christian_dior-墨镜,21.0,0.9524,0.9091,0.9302
gucci-短袖Polo衫,21.0,1.0,0.75,0.8571
adidas-休闲短裤,21.0,0.8571,0.9474,0.9
puma-时尚/休闲套装,21.0,0.9524,0.9091,0.9302
alexander_mcqueen-休闲鞋,21.0,0.9524,0.9524,0.9524
mickey_mouse-短袖T恤,21.0,0.8095,0.7083,0.7556
one_piece-苹果手机保护壳/套,21.0,0.0,0.0,0.0
chanel-休闲短裤,21.0,1.0,0.9545,0.9767
omega-石英表,21.0,1.0,1.0,1.0
adidas-男运动套装,20.0,1.0,1.0,1.0
nike-连体长裤,20.0,1.0,0.9524,0.9756
adidas-短袖Polo衫,20.0,0.85,1.0,0.9189
tommy_hilfiger-Polo衫,20.0,1.0,1.0,1.0
gucci-女式板鞋,20.0,1.0,0.8696,0.9302
adidas-Polo衫,20.0,1.0,1.0,1.0
adidas-足球鞋,20.0,0.45,0.9,0.6
louis_vuitton-苹果手机保护壳/套,19.0,1.0,0.7917,0.8837
lacoste-短袖Polo衫,19.0,1.0,1.0,1.0
ralph_lauren-时尚/休闲套装,19.0,1.0,1.0,1.0
manchester_united-男士足球服,19.0,0.0,0.0,0.0
chanel-宽沿帽/太阳帽,18.0,1.0,0.8182,0.9
one_piece-海贼王手办专区,18.0,0.0,0.0,0.0
louis_vuitton-床品套件/四件套/多件套,18.0,0.9444,0.5152,0.6667
lacoste-短袖T恤,18.0,1.0,0.9474,0.973
louis_vuitton-手拿包,18.0,1.0,0.9,0.9474
gucci-高跟鞋,18.0,0.9444,0.5152,0.6667
burberry-手拿包,18.0,0.7778,0.9333,0.8485
nike-板鞋,18.0,0.9444,0.425,0.5862
louis_vuitton-男士背包,18.0,1.0,0.9,0.9474
gucci-耳环,18.0,1.0,0.2812,0.439
nike-时尚拖鞋,18.0,0.6667,0.4286,0.5217
nike-休闲短裤,18.0,1.0,0.2903,0.45
converse-男式板鞋,17.0,0.9412,0.8421,0.8889
saudi_arabia-马克杯,17.0,0.0,0.0,0.0
ralph_lauren-Polo衫,17.0,1.0,1.0,1.0
bottega_veneta-凉鞋,17.0,0.0,0.0,0.0
dsquared2-短袖Polo衫,17.0,0.6471,1.0,0.7857
jimmy_choo-高跟凉鞋,17.0,1.0,0.8947,0.9444
gucci-手提包,17.0,1.0,0.8947,0.9444
new_balance-男士跑步鞋,17.0,1.0,0.5667,0.7234
chanel-平底凉鞋,17.0,1.0,0.9444,0.9714
versace-时尚/休闲套装,17.0,1.0,0.6071,0.7556
calvin_klein-短袖T恤,17.0,1.0,0.9444,0.9714
nba-男士篮球服,17.0,1.0,1.0,1.0
tommy_hilfiger-无模特套装,17.0,1.0,1.0,1.0
prada-休闲鞋,16.0,1.0,1.0,1.0
balenciaga-时尚拖鞋,16.0,1.0,0.7273,0.8421
gucci-苹果手机保护壳/套,16.0,0.9375,0.3,0.4545
fendi-手拿包,16.0,1.0,1.0,1.0
puma-短袖T恤,16.0,1.0,0.6667,0.8
burberry-套装（不包含爬服类）,16.0,1.0,0.7619,0.8649
tommy_hilfiger-男士内裤,16.0,1.0,1.0,1.0
tottenham_hotspur-男士足球服,16.0,1.0,1.0,1.0
gucci-女式钱包,16.0,0.9375,0.75,0.8333
marvel-T恤,16.0,1.0,1.0,1.0
chanel-彩色太阳镜,16.0,1.0,1.0,1.0
gucci-户外面罩,16.0,1.0,1.0,1.0
christian_dior-宽沿帽/太阳帽,15.0,1.0,0.8824,0.9375
star_wars-马克杯,15.0,0.6667,1.0,0.8
emoji-马克杯,15.0,0.0,0.0,0.0
dolce_gabbana-短袖T恤,15.0,1.0,1.0,1.0
bottega_veneta-男士背包,15.0,0.0,0.0,0.0
armani-短袖Polo衫,15.0,1.0,0.9375,0.9677
le_coq_sportif-短袖T恤,15.0,0.0,0.0,0.0
burberry-女式钱包,15.0,0.4,0.8571,0.5455
gucci-运动鞋,15.0,0.9333,0.5385,0.6829
hermes-项链,15.0,0.7333,1.0,0.8462
essentials-时尚/休闲套装,15.0,1.0,1.0,1.0
louis_vuitton-男士跑步鞋,15.0,1.0,0.6818,0.8108
philipp_plein-休闲鞋,15.0,1.0,0.9375,0.9677
gucci-发箍,15.0,1.0,0.8824,0.9375
christian_dior-手拿包,15.0,0.8667,0.65,0.7429
lacoste-Polo衫,15.0,1.0,1.0,1.0
gucci-皮带/腰带,15.0,1.0,0.7895,0.8824
salvatore_ferragamo-休闲皮鞋,14.0,0.6429,0.75,0.6923
versace-男士内裤,14.0,1.0,0.9333,0.9655
van_cleef_arpels-手链,14.0,0.7857,1.0,0.88
burberry-欧美模特套装,14.0,0.9286,0.9286,0.9286
chanel-户外面罩,14.0,1.0,1.0,1.0
cartier-项链,14.0,0.1429,1.0,0.25
new_balance-女士跑步鞋,14.0,1.0,0.7,0.8235
gucci-帆布鞋,14.0,0.7857,0.6111,0.6875
stone_island-时尚/休闲套装,14.0,1.0,1.0,1.0
louis_vuitton-三星手机保护壳/套,14.0,1.0,0.9333,0.9655
tommy_hilfiger-短袖Polo衫,14.0,1.0,0.9333,0.9655
gucci-Polo衫,14.0,1.0,0.7368,0.8485
calvin_klein-短袖Polo衫,14.0,1.0,1.0,1.0
puma-男式板鞋,14.0,0.6429,0.4286,0.5143
